Rank,Peak,All Time Peak,Actual gross,Adjusted gross (in 2022 dollars),Artist,Tour title,Shows,Average gross,Start_Year
1,1.0,2.0,780000000,780000000,Taylor Swift,The Eras Tour †,56,13928571,2023
2,1.0,-1.0,579800000,579800000,Beyoncé,Renaissance World Tour,56,10353571,2023
3,-1.0,-1.0,411000000,560622615,Madonna,Sticky & Sweet Tour ‡[4][A],85,4835294,2008
4,-1.0,-1.0,397300000,454751555,Pink,Beautiful Trauma World Tour,156,2546795,2018
5,-1.0,-1.0,345675146,402844849,Taylor Swift,Reputation Stadium Tour,53,6522173,2018
6,-1.0,-1.0,305158363,388978496,Madonna,The Mdna Tour,88,3467709,2012
7,-1.0,-1.0,280000000,381932682,Celine Dion,Taking Chances World Tour,131,2137405,2008
7,-1.0,-1.0,257600000,257600000,Pink,Summer Carnival †,41,6282927,2023
9,-1.0,-1.0,256084556,312258401,Beyoncé,The Formation World Tour,49,5226215,2016
10,-1.0,-1.0,250400000,309141878,Taylor Swift,The 1989 World Tour,85,2945882,2015
11,-1.0,-1.0,229100000,283202896,Beyoncé,The Mrs. Carter Show World Tour,132,1735606,2013
12,-1.0,-1.0,227400000,295301479,Lady Gaga,The Monster Ball Tour *,203,1118227,2009
13,-1.0,-1.0,204000000,251856802,Katy Perry,Prismatic World Tour,151,1350993,2014
14,-1.0,-1.0,200000000,299676265,Cher,Living Proof: The Farewell Tour ‡[21][A],325,615385,2002
15,-1.0,-1.0,194000000,281617035,Madonna,Confessions Tour,60,3233333,2006
16,-1.0,-1.0,184000000,227452347,Pink,The Truth About Love Tour,142,1295775,2013
17,-1.0,-1.0,170000000,213568571,Lady Gaga,Born This Way Ball,98,1734694,2012
18,-1.0,-1.0,169800000,207046755,Madonna,Rebel Heart Tour,82,2070732,2015
19,-1.0,-1.0,167700000,204486106,Adele,Adele Live 2016,121,1385950,2016
20,-1.0,-1.0,150000000,185423109,Taylor Swift,The Red Tour,86,1744186,2013
